scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,0,real_structure_null,False,0,96,4,polynomial_ridge,37,24630987,0.09548290830168203,0.35475833877760915,-0.15883371416373795,0.13484252468103664,-0.22487791644058602,0.035,-0.0012684743412281763,-0.0028847951556484983,0.0001254198154263664,-0.10084710151341075,True,False,False,False,True
task1,1,real_design_proxy,False,0,96,4,polynomial_ridge,37,24630987,0.9093190450352686,1.4424748769949579e-37,0.2093064590433856,0.04771616011666735,0.2166983179598481,0.045,0.0012360453370879685,-0.0006406624800845296,0.0032065598882913132,0.07781472656918319,True,True,False,False,True
task1,2,injected_increment,True,1,96,4,polynomial_ridge,37,24630987,0.5280656538252848,3.218314483169479e-08,0.7831639057672698,7.478689993491558e-20,0.8079354313619099,0.005,0.034579602498860676,0.021597943415253746,0.049004418593554526,0.6293548406741711,True,True,True,True,True
task1,3,task_specialist,True,1,96,4,polynomial_ridge,37,24630987,0.8129137276180141,8.542403732446501e-24,0.8915607166585072,5.074369482481355e-32,0.877550189907759,0.005,0.04980146589047714,0.035247592048003026,0.06710184290623672,0.7527980273049903,True,True,True,True,True
task2,0,real_structure_null,False,0,54,4,polynomial_ridge,37,25630990,-0.022755860491709544,0.8702593628513294,-0.16254901161924673,0.25938572489777745,-0.1138555364970459,0.415,-0.002814837276078683,-0.005237351616178105,-0.0007569656958984851,-0.321032699870224,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,4,polynomial_ridge,37,25630990,0.8428816466552314,1.3112843683163863e-15,0.10953927462721663,0.44889902574100016,-0.12948351438917474,0.335,-0.0004717969429649839,-0.004717459308090683,0.003895529594021178,-0.02114529393833337,False,False,False,False,True
task2,2,injected_increment,True,1,54,4,polynomial_ridge,37,25630990,0.6740232513817418,2.315445896884955e-08,0.7620515936920149,1.2913358628829146e-10,0.6558795502191729,0.005,0.014039933370018203,0.004324050887509026,0.023644744353571872,0.4803808790106576,True,True,True,True,True
task2,3,task_specialist,True,-1,54,4,polynomial_ridge,37,25630990,-0.8411282637697731,1.7104880442477303e-15,-0.908807273159117,7.518100387966086e-20,-0.8677339432056412,0.005,0.05210026131990722,0.02914416993194488,0.0766771227298869,0.7965575856069136,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,4,polynomial_ridge,37,33631006,0.023778901940609904,0.8070165823753586,0.023467278601933508,0.8103850971718306,0.003951467688177737,0.945,-0.0005060367200810517,-0.007418800817822555,0.0061464594062210455,-0.005775870488717366,False,False,False,False,True
task1,0,real_structure_null,False,0,96,4,polynomial_ridge,38,24640994,-0.012954422137818774,0.9003102318717083,0.0072121926270655974,0.9462112749920133,0.07071351058057515,0.495,-0.0012608433044517774,-0.002398853184610935,-0.00012122504637876757,-0.10322427113115348,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,4,polynomial_ridge,38,24640994,0.8975176342919153,3.430329971219757e-35,0.18825738656618618,0.07558042402801823,0.14598480737927294,0.135,-0.001886223624338934,-0.0033978220909077453,-0.00010033518039263019,-0.10437924479810223,False,False,False,False,True
task1,2,injected_increment,True,1,96,4,polynomial_ridge,38,24640994,0.6105941399891481,3.966646177350692e-11,0.8271556737589235,9.630023465172747e-24,0.8137683125339121,0.005,0.029062308486812863,0.021396728207477334,0.0374597473611885,0.6932720518833114,True,True,True,True,True
task1,3,task_specialist,True,1,96,4,polynomial_ridge,38,24640994,0.8165219750406945,3.739221927454259e-24,0.9314742839077496,2.0664816818012972e-40,0.922192078133478,0.005,0.07630246791311718,0.057597264700465035,0.09765211969528739,0.8582230104639801,True,True,True,True,True
task2,0,real_structure_null,False,0,54,4,polynomial_ridge,38,25640997,0.002935010482180293,0.9831952371129844,-0.009703561632835025,0.9466767474322875,-0.007051648561082522,0.98,-0.0013931976157995143,-0.0026517059661814815,-0.000373585679568039,-0.17474977060629904,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,4,polynomial_ridge,38,25640997,0.8967791118734514,4.7165116963223194e-20,0.21850889668732185,0.1273838554357652,0.1573089384410139,0.255,0.0007113998743992662,-0.0020987242459485625,0.003377161398603353,0.04697961972592656,False,True,False,False,True
task2,2,injected_increment,True,1,54,4,polynomial_ridge,38,25640997,0.6791309319611206,1.650702872250208e-08,0.8718345548542809,1.7252184172096636e-16,0.8456260720411662,0.005,0.034013803560886235,0.018880790224499913,0.05191780807282619,0.7641403910447891,True,True,True,True,True
task2,3,task_specialist,True,-1,54,4,polynomial_ridge,38,25640997,-0.7630646083476271,1.981731629616975e-11,-0.8668811544685335,4.044071203335858e-16,-0.8571374118543928,0.005,0.06611980337743778,0.041555113627873175,0.09618077458385109,0.7489755810218371,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,4,polynomial_ridge,38,33641013,0.08692255661303076,0.3710495929720261,0.08190716025244878,0.4016302198521071,0.0721162549709574,0.5,-0.003914299262454915,-0.01725329635571007,0.010406259398197754,-0.04537874728606684,False,False,False,False,True
task1,0,real_structure_null,False,0,96,4,polynomial_ridge,39,24651001,0.013171459576776994,0.8986488315791709,0.0037959555854426706,0.9716744033781064,0.029015192620727076,0.76,-0.0010966024608330873,-0.0017328010583033333,-0.0005384871425821764,-0.09602540521607107,False,False,False,False,True
