scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,56,27821129,-0.714351057747284,1.3145197255514441e-09,-0.7905414168952214,8.590984376206167e-12,-0.7935582237469029,0.005,0.05052494502266407,0.029877468452434258,0.07732446131952704,0.6161673109826716,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,56,35821145,0.18870692693894273,0.05047802987190167,0.20018460500722196,0.03869838400908319,0.20988421808791644,0.06,0.052305518444970306,0.03797979946590313,0.06754151885017627,0.627521851907294,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,57,26831133,0.036041779706999455,0.7273721518616604,0.021012529283259734,0.8441581481952303,0.011584373304395008,0.935,-0.0015780004203320335,-0.002896008659086221,-0.00043194306242511587,-0.2225411304900725,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,57,26831133,0.9023602821486708,3.95386205663018e-36,0.19094713677110575,0.07142146589166912,0.1748507867607162,0.125,-0.003975376477930358,-0.007033832199737476,-0.0005873236399077794,-0.1502556834681821,False,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,57,26831133,0.5430141074335323,1.0914372165870037e-08,0.8030066334836624,1.7413221709288462e-21,0.8514514378730331,0.005,0.040371875854786805,0.027942525545541136,0.05433888147819068,0.7031453175635252,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,57,26831133,0.8075963103635377,2.795399517030706e-23,0.8802905936871269,3.061900743105949e-30,0.8974498100922409,0.005,0.0874970770139438,0.06226015672737741,0.11850353380097357,0.7738713282565133,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,57,27831136,0.16188298075090526,0.2422062165906026,-0.08101419079989278,0.5759649722843441,-0.03518200876691442,0.74,-0.0012087831096329986,-0.002125910438720326,-0.0004950547376266558,-0.219593022613124,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,57,27831136,0.9018105584143318,1.370692872230773e-20,0.2838433576557791,0.04575945417086343,0.10737564322469981,0.39,-0.004336869071017008,-0.01114908941920243,0.0016083856529801686,-0.1921152500967882,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,57,27831136,0.5313893653516295,3.558425736057593e-05,0.7387685689715574,9.078222715110494e-10,0.8611015818562987,0.005,0.0373323737735554,0.017243419453882917,0.06043596806150172,0.6800522607762257,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,57,27831136,-0.8469220506956354,7.019108300082108e-16,-0.9079050687664779,9.423319766787888e-20,-0.8665141985896702,0.005,0.09577775606280428,0.052323792043707296,0.148519509006969,0.7785699771572424,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,57,35831152,-0.04799603684967656,0.6218219080039471,-0.04138855223222923,0.6720914207480956,-0.03138777406170016,0.76,0.05972200166652819,0.043097157840115495,0.07806718396602667,0.6767068130118359,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,58,26841140,-0.048141616928920244,0.6413723327166484,-0.15796499698272026,0.13701670323486742,0.12769940314704287,0.265,-0.002046706820714896,-0.003750528296864541,-0.0007136205695582802,-0.2853383735380335,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,58,26841140,0.9219072164948453,1.7253397765102058e-40,0.3566951029913668,0.0005588175884512473,0.30731144872490507,0.005,-0.0015472561198522743,-0.006550990294756642,0.00336638121914961,-0.08033593047939856,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,58,26841140,0.6311720021703744,5.441229293888321e-12,0.8075531148292417,6.925354900207891e-22,0.8362723819858925,0.005,0.030707030479743772,0.020425775743810493,0.040870622524811405,0.6302844231085953,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,58,26841140,0.8662506782419968,4.429746366740206e-30,0.9253053533073985,8.01850189919819e-39,0.9055887140531742,0.005,0.07455440732022595,0.04919854676027265,0.09799661608235379,0.7957181854309084,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,58,27841143,0.1554030874785592,0.26182535014694314,0.03466298758719109,0.8111236450618682,-0.1812464265294454,0.23,-0.0013773285320054264,-0.0026312390762428216,-0.00018313167717343075,-0.3449435643855865,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,58,27841143,0.8775681341719076,3.1256807984020596e-18,0.015226198493637794,0.9164168079970016,0.18902229845626067,0.19,-0.00852793107326301,-0.01845203342244191,-0.001197882884613049,-0.3646132156947983,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,58,27841143,0.6975033352391842,4.613103271971437e-09,0.8388251669518765,2.856949193064281e-14,0.8582046883933675,0.005,0.03390705345151369,0.01730354778540986,0.05036342899054747,0.7065867333310251,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,58,27841143,-0.854392986468458,2.1049956866869832e-16,-0.908278872289716,8.58387469369018e-20,-0.9220888126548502,0.005,0.07428854836907296,0.04512036873610132,0.1056526112546297,0.8178105001316051,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,58,35841159,0.038307277525317485,0.6938667334555803,0.03809910787241141,0.6968228584475101,0.027453904071001657,0.76,0.06568560515895647,0.04964331440909049,0.08017192854391174,0.7417730703579717,False,True,True,False,True
