run,metric,n,raw_r,raw_ci_low,raw_ci_high,partial_r,partial_ci_low,partial_ci_high,delta,delta_ci_low,delta_ci_high,classification
full_680_default,confidence_mean,680,0.833378882358503,0.8126336257859362,0.851800643671957,0.33899033022025216,0.2594941128868251,0.41776014722693805,-0.49438855213825084,-0.5883032063428442,-0.41110722475452627,survives
full_680_default,feature_norm_mean,680,-0.4249527249979203,-0.4999385051307811,-0.34631202435231206,0.07147223054533378,-0.0476262350280959,0.18970042109173282,0.49642495554325405,0.3494513671872364,0.6122983284944522,washout
full_680_default,feature_erank,680,-0.5380328820835625,-0.604587396419139,-0.46934215328899115,0.09656380781411708,-0.014301818342492443,0.18262741018448406,0.6345966898976796,0.5153139419235856,0.7327512829947522,washout
full_680_default,weight_l2,680,0.6853608940758021,0.6245982449502532,0.740047417643294,0.09295641666499618,-0.012498157008737912,0.19938292159612073,-0.5924044774108059,-0.725747228503188,-0.45255689349538547,washout
full_680_default,distance_from_init_l2,680,0.6717805798733901,0.6171212676543146,0.7229809698416406,0.013922349832344577,-0.0720312343378733,0.11960972469011759,-0.6578582300410456,-0.7650918910951273,-0.5443774235045672,washout
full_680_default,update_to_weight_ratio,680,0.24144742167542854,0.16833263475923105,0.31595647745059496,0.06601497974972448,-0.03676652505056582,0.18049189122180187,-0.17543244192570406,-0.28412439742285056,-0.04926008220523894,washout
full_680_default,random_metric,680,-0.03457061603258148,-0.11228314407642216,0.03279831831045499,-0.06157737271595171,-0.1307608414915937,0.017876347511068102,-0.027006756683370235,-0.12025174981031982,0.07328347681511097,weak-or-mixed
full_680_strict,fim_norm,680,0.22486856902462055,0.13785448002763834,0.2963319386244872,-0.30027954651012717,-0.38935028376887687,-0.21676529563419494,-0.5251481155347477,-0.6212656795873313,-0.42095274338199795,reverse-inversion
full_680_strict,val_loss,680,-0.9354999097995528,-0.9473192093248829,-0.9208203972311205,-0.6979856001376018,-0.7420440894747582,-0.6472011502228298,0.23751430966195097,0.1984362115722705,0.28647476028609464,survives
full_680_strict,fisher_trace,680,-0.8089502745484841,-0.841103649378764,-0.7676132102872063,-0.3899587268944448,-0.48200592019833904,-0.2745273569948608,0.41899154765403934,0.3299107028150531,0.5221877070613301,survives
full_680_strict,grad_norm,680,-0.8085811309041108,-0.8433949048954351,-0.7652749645493986,-0.37567876195590005,-0.4699983206398751,-0.26148377268328565,0.4329023689482107,0.3470068620019835,0.5283910461764765,survives
full_680_strict,confidence_mean,680,0.833378882358503,0.8073789980383088,0.8496541792105641,0.536157535749272,0.4640295922342649,0.5857653342448493,-0.29722134660923094,-0.36913041773299826,-0.23783225890875564,survives
full_680_strict,feature_norm_mean,680,-0.4249527249979203,-0.4975358936443676,-0.3520170537599931,0.06935067523004444,-0.05478404411151976,0.18489307077141526,0.49430340022796476,0.3785723207205916,0.5971547578901656,washout
full_680_strict,feature_erank,680,-0.5380328820835625,-0.6034608058858576,-0.47637645225454917,0.10751083761598379,-0.00745490493421236,0.2019036722215375,0.6455437196995463,0.5351279904351548,0.7484942259905708,weak-or-mixed
full_680_strict,weight_l2,680,0.6853608940758021,0.6119129848875723,0.7371451651164516,0.18461130310477672,0.10848752532010238,0.27739485245911133,-0.5007495909710254,-0.5956544011532765,-0.38453228310133175,weak-or-mixed
full_680_strict,distance_from_init_l2,680,0.6717805798733901,0.6105009813723187,0.7251939138661755,0.2838312681579505,0.18424786956046396,0.37801463725657414,-0.3879493117154396,-0.4751587878591303,-0.2941184154567686,survives
full_680_strict,update_to_weight_ratio,680,0.24144742167542854,0.1823949371679259,0.3092146048671102,0.2533843609905358,0.15536560658299678,0.35122349626065424,0.011936939315107253,-0.08785030724011862,0.13975505940484667,survives
full_680_strict,random_metric,680,-0.03457061603258148,-0.11844530248573716,0.03212825522198915,-0.044258926568740295,-0.1151281624501707,0.030940260685203988,-0.009688310536158817,-0.10137743275524648,0.08022603531168307,weak-or-mixed
