scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,2,injected_increment,True,1,96,1,extra_trees,1,21270726,0.6159115572436245,2.4070294676030952e-11,0.8294172228100557,5.6811820917504505e-24,0.7228055183182414,0.01,0.024772905068173545,0.013865410452846665,0.035113295102816085,0.5560994101521123,True,True,True,True,True
task1,3,task_specialist,True,1,96,1,extra_trees,1,21270726,0.8664677156809549,4.125695237046898e-30,0.9386013546361767,1.92227465054252e-42,0.8037317254359032,0.01,0.07794192060242001,0.05993954732005622,0.09677449404347128,0.8239940469293524,True,True,True,True,True
task2,0,real_structure_null,False,0,54,1,extra_trees,1,22270729,-0.0677339432056413,0.6265037122985511,0.13465636253321192,0.35116238473293404,0.05291045644927706,0.64,0.0001291595952818813,-0.00040164877237828324,0.0006243685764575695,0.009175141347811036,False,True,False,False,True
task2,1,real_design_proxy,False,0,54,1,extra_trees,1,22270729,0.9053173241852486,5.5651937618212736e-21,0.4028892548622992,0.003721549847636155,0.6876441328508808,0.01,0.020062923737997455,0.0092179265711565,0.03190087393638161,0.502519379951101,True,True,True,True,True
task2,2,injected_increment,True,1,54,1,extra_trees,1,22270729,0.6545835715647036,7.916885605236091e-08,0.8216881323914733,2.63006463557779e-13,0.7909201804937995,0.01,0.03031130831684932,0.020279835229548734,0.04030752640915988,0.6312302146061153,True,True,True,True,True
task2,3,task_specialist,True,-1,54,1,extra_trees,1,22270729,-0.8404421574232894,1.8963006642599837e-15,-0.914780409644912,1.584399133763063e-20,-0.8265451982671007,0.01,0.03913432372692155,0.02133205112942034,0.05872753240306302,0.6138929781098145,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,1,extra_trees,1,30270745,-0.03507769108386445,0.7185426573967966,-0.026756299736380797,0.7844170153776597,-0.05836745494356693,0.57,0.051257731974045276,0.04021411845210224,0.06358651738668941,0.594948758792404,False,True,True,False,True
task1,0,real_structure_null,False,0,96,1,extra_trees,2,21280733,0.028336950623982636,0.7840367379209742,0.06767648046688986,0.526219157626786,-0.12404407354506368,0.3,0.0005817491409805878,1.5023776874158628e-05,0.0015322264961586754,0.04749322329558041,False,True,True,False,True
task1,1,real_design_proxy,False,0,96,1,extra_trees,2,21280733,0.9169017905588714,2.844769563575639e-39,0.35144686713766143,0.0006824207303960515,0.6452496820723836,0.01,0.023884207027080342,0.015713070856097848,0.03538295078511807,0.5694467743799747,True,True,True,True,True
task1,2,injected_increment,True,1,96,1,extra_trees,2,21280733,0.5262750949538796,3.65065508497242e-08,0.7672386515657253,1.1622269113382764e-18,0.6972873435404672,0.01,0.027682017815258815,0.018553771807648542,0.037986681478793034,0.45586304960393803,True,True,True,True,True
task1,3,task_specialist,True,1,96,1,extra_trees,2,21280733,0.8345903418339663,4.461661970307209e-26,0.9118948600970641,8.551041762379363e-36,0.7929324790112624,0.01,0.0643673319041393,0.04469622179755173,0.08528700981807143,0.7441521653834231,True,True,True,True,True
task2,0,real_structure_null,False,0,54,1,extra_trees,2,22280736,-0.02374690299218601,0.8646608335768609,-0.011265291807293513,0.9381102198838601,-0.018452506037970905,0.91,3.468192832731948e-05,-0.00045363747772155275,0.0005460642983662773,0.0020325058911986275,False,True,False,False,True
task2,1,real_design_proxy,False,0,54,1,extra_trees,2,22280736,0.8416619020392604,1.5781169088524587e-15,0.06291126091406878,0.6642676330240412,0.6807707703220617,0.01,0.026014164549609756,0.01202706662326645,0.03906697393785444,0.47058238479606856,True,True,True,True,True
task2,2,injected_increment,True,1,54,1,extra_trees,2,22280736,0.5666857251762912,7.930065623309032e-06,0.820744875013508,2.95141675701796e-13,0.8305188127865535,0.01,0.02434202436044992,0.015253806753819163,0.03302145675444518,0.5855708898229035,True,True,True,True,True
task2,3,task_specialist,True,-1,54,1,extra_trees,2,22280736,-0.8546216885839526,2.0266729448480738e-16,-0.9373404482563453,1.2782197694568557e-23,-0.9288709315279243,0.01,0.07796218720171988,0.05423346519253236,0.10067918628043991,0.7956984288987433,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,1,extra_trees,2,30280752,-0.026017700801204188,0.7892513597234979,-0.020250761133019355,0.8359814897920715,-0.012011547091076252,0.88,0.04830892294917757,0.037837015499286454,0.06086252127566468,0.5778240599745744,False,True,True,False,True
task1,0,real_structure_null,False,0,96,1,extra_trees,3,21290740,0.06184210526315789,0.5494647253581247,0.08253950589802254,0.439277502704092,0.09464720524916388,0.46,3.921214927847354e-05,-4.456342344133697e-05,0.00012970941830079617,0.0037141921709732215,False,True,False,False,True
task1,1,real_design_proxy,False,0,96,1,extra_trees,3,21290740,0.8873440043407488,2.3033950492376683e-33,0.07402456134285809,0.48806211672908506,0.4362742271912224,0.01,0.022762061102105203,0.014533999709602896,0.031009975820008282,0.5212467691256002,True,True,True,True,True
task1,2,injected_increment,True,1,96,1,extra_trees,3,21290740,0.5352007596310364,1.9333511989177493e-08,0.7564584229703191,6.598212820736594e-18,0.6240860565262445,0.01,0.017118004820127958,0.011390824391254118,0.024650508011688423,0.3529016204131779,True,True,True,True,True
task1,3,task_specialist,True,1,96,1,extra_trees,3,21290740,0.7699403147042866,4.844721780080694e-20,0.8806647612935747,2.6902512683008616e-30,0.7270600044764276,0.01,0.06545125773698941,0.045817340449926656,0.08733452263918366,0.705935642975494,True,True,True,True,True
task2,0,real_structure_null,False,0,54,1,extra_trees,3,22290743,0.028320945302077374,0.8389109943064853,0.05192831482635795,0.7202361704497741,-0.08977071316636119,0.52,-8.818171280613497e-05,-0.0006668078580979774,0.00035923789384007736,-0.007224495970082983,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,1,extra_trees,3,22290743,0.8661330283971792,2.7519671204817402e-17,0.1539649610287924,0.2857272962729288,0.5828473413379073,0.01,0.029792924127310903,0.016836344381666306,0.041238005800398284,0.5265180601150005,True,True,True,True,True
task2,2,injected_increment,True,1,54,1,extra_trees,3,22290743,0.5065370688012197,9.29969530405e-05,0.7943192541658793,5.812422959718507e-12,0.8116566293919933,0.01,0.029603763590785617,0.01997901910853416,0.039682034239470344,0.5922903380341518,True,True,True,True,True
