hyperparameter,source_config,destination_config,weight_sum,effective_sample_size,complexity.dist_spec_init_fft,complexity.fro_dist,complexity.fro_over_spec_fft,complexity.inverse_margin,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec_fft,complexity.log_prod_of_spec_over_margin_fft,complexity.log_spec_init_main_fft,complexity.log_spec_orig_main_fft,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec_fft,complexity.log_sum_of_spec_over_margin_fft,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin
hp.lr,2683137159504095314,6586890188015871386,37.07089759041452,86.95227804806196,0.9467684253180697,0.0,0.0,1.0,0.0,0.0,0.3543329075579591,0.6409817685179955,0.11747830058048322,0.11747830058048322,0.0,0.0,0.3543329075579591,0.6409817685179955,0.013387367866783394,0.0,0.0,0.4098603459320237,0.258248524345962,0.0,0.0,0.5,0.0,0.0
hp.lr,6586890188015871386,2683137159504095314,37.07089759041452,86.95227804806196,0.9467684253180697,0.0,0.0,1.0,0.0,0.0,0.3543329075579591,0.6409817685179955,0.11747830058048322,0.11747830058048322,0.0,0.0,0.3543329075579591,0.6409817685179955,0.013387367866783394,0.0,0.0,0.4098603459320237,0.258248524345962,0.0,0.0,0.5,0.0,0.0
hp.lr,2683137159504095314,7510974435897008874,49.862534194032534,99.99560509707545,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9699339439493114,0.6007419932858774,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.34957387073088136,0.0400066589720761,0.0,0.0,0.5,0.0,0.0
hp.lr,7510974435897008874,2683137159504095314,49.862534194032534,99.99560509707545,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9699339439493114,0.6007419932858774,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.34957387073088136,0.0400066589720761,0.0,0.0,0.5,0.0,0.0
hp.lr,6531222739047723564,6586890188015871386,4.487911172368034,22.952029243448305,0.7773733012767569,0.0,0.0,1.0,0.0,0.0,0.5754924886778616,0.6566627954892821,0.42016676758665394,0.3153934376795682,0.0,0.0,0.5754924886778616,0.6566627954892821,0.09490257742819254,0.0,0.0,0.26594948370893906,0.24036960102934887,0.0,0.0,0.5,0.0,0.0
hp.lr,6586890188015871386,6531222739047723564,4.487911172368034,22.952029243448305,0.7773733012767569,0.0,0.0,1.0,0.0,0.0,0.5754924886778616,0.6566627954892821,0.42016676758665394,0.3153934376795682,0.0,0.0,0.5754924886778616,0.6566627954892821,0.09490257742819254,0.0,0.0,0.26594948370893906,0.24036960102934887,0.0,0.0,0.5,0.0,0.0
hp.lr,6531222739047723564,7510974435897008874,46.49978848761248,99.17884522340067,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9900130344188811,0.8251229129977843,0.0,0.0,1.0,1.0,0.0,0.0,0.04518893614517254,0.4614264461047561,0.1223815541070296,0.0,0.0,0.5,0.0,0.0
hp.lr,7510974435897008874,6531222739047723564,46.49978848761248,99.17884522340067,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9900130344188811,0.8251229129977843,0.0,0.0,1.0,1.0,0.0,0.0,0.04518893614517254,0.4614264461047561,0.1223815541070296,0.0,0.0,0.5,0.0,0.0
hp.lr,6586890188015871386,7510974435897008874,4.555612323318824,16.506312095494923,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9708445376557501,0.0,0.0,1.0,1.0,0.0,0.0,0.11932534841100617,0.24715531310826575,0.050723438838233235,0.0,0.0,0.5,0.0,0.0
hp.lr,7510974435897008874,6586890188015871386,4.555612323318824,16.506312095494923,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9708445376557501,0.0,0.0,1.0,1.0,0.0,0.0,0.11932534841100617,0.24715531310826575,0.050723438838233235,0.0,0.0,0.5,0.0,0.0
hp.lr,-1242544713842356354,197694332230512244,49.9944460936034,99.99994390597395,0.3299279209472146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8399822694027413,1.0,0.0,0.0,0.5,0.0,0.0
hp.lr,197694332230512244,-1242544713842356354,49.9944460936034,99.99994390597395,0.3299279209472146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8399822694027413,1.0,0.0,0.0,0.5,0.0,0.0
hp.lr,-1242544713842356354,4843453915227769433,49.99966216471362,99.99999992028825,0.5999974476788842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499978189814608,0.0,0.0,0.5,0.0,0.0
