study_id,scope,baseline_level,metric,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.log_sum_of_spec_over_margin_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.9107290956644545,0.2020754462124622,survives,0.3307154580313342,0.3897706790827163,0.005,0.31946683981182944,0.45840926030046175,0.001890480951780449,0.0014789079471635995,0.0004115730046168496,0.0002904517844037107,0.0005483836261557146,0.21770809392669702,0.0064,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.pacbayes_flatness,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.9517773414862388,0.12209863252956389,weak-or-mixed,0.04072066457456141,-0.007010332041328165,0.87,-0.10333805244426995,0.09117857332043873,0.001936786186685397,0.0016526944237427454,0.00028409176294265153,0.0001772990574361714,0.00040835060456155835,0.1466820472469624,0.87,predictive-improvement-only
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.pacbayes_init,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.8586758176101124,0.3285939125740924,survives,0.46538119705266084,0.4922338089352357,0.005,0.4279117452606922,0.550664755893928,0.0018955052989688688,0.0009036172249536556,0.000991888074015213,0.0008296657066151516,0.0011809899919778502,0.5232842527819827,0.0064,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.pacbayes_mag_flatness,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.8630380918710395,0.3800167679159163,survives,0.4072157226910272,0.5103672254689018,0.005,0.4470415885327683,0.573564599483939,0.0018919005999676374,0.0009628883987795014,0.000929012201188136,0.0007721168482185934,0.001113249569968912,0.4910470461312965,0.0064,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.pacbayes_mag_init,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.7281727254804897,0.26930397903031494,survives,0.19060357577130188,0.19471642686570745,0.005,0.11340087478848179,0.2823805991141356,0.0019154469974200512,0.0014884700039014048,0.0004269769935186464,0.00026946963642319896,0.0005872633366770277,0.2229124554705764,0.0064,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.pacbayes_mag_orig,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.7271140044367517,0.25151781994858047,survives,0.14641637516462763,0.13531100524402095,0.005,0.04552669343086935,0.22504105481870165,0.001885380578172498,0.0014936697042530365,0.0003917108739194615,0.00024309011800064363,0.0005600337507486063,0.2077622303180546,0.0064,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.pacbayes_orig,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.8945769441126243,0.15684047341021232,weak-or-mixed,0.28628536922953096,0.29024765699062793,0.005,0.20676777455790918,0.3699511157296325,0.0018796748083665597,0.0014601778014768827,0.000419497006889677,0.00027274541542003324,0.0005521205190746636,0.22317530937929658,0.0064,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.param_norm,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.9305634711080748,0.07996780859671095,washout,0.20589257876053305,0.18591194364777458,0.005,0.09682105501423037,0.28125880847630846,0.0018958117387333662,0.0015695420646660344,0.0003262696740673318,0.00015318093673355584,0.0005091187271727225,0.1721002499358506,0.0064,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.params,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.7123985052592059,0.28572718580891315,survives,0.13612838737573163,0.11689323557294228,0.01,0.024739096444739914,0.20807114961132553,0.0018910423147174974,0.0014764337340441313,0.00041460858067336607,0.00027158922685086186,0.0005809424742833733,0.21924870609534952,0.012307692307692308,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,hp.dataset=cifar10,B2_training_state,complexity.path_norm,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size,cross_entropy,gen.train_acc,epoch",polynomial_ridge,4986,500,0.36490852345085556,0.3854296659337785,survives,0.4320164157258947,0.4498796875187501,0.005,0.37310519414163984,0.5221640162244233,0.0018942445402202756,0.0013092653195100525,0.0005849792207102231,0.00043427868809158595,0.0007329930717793114,0.30881927242730645,0.0064,increment-supported
